Hebrew Text,Hebrew Gloss
אני אוהב את המוזיקה,אני מוזיקה אוהב
היא קנתה שמלה חדשה,היא שמלה חדש קנה
הם הלכו לים,הם ים הלך
הילדים משחקים בפארק,ילדים פארק משחק
המורה לימד את השיעור,מורה שיעור לימד
אנחנו רוצים לאכול ארוחת ערב,אנחנו ארוחת ערב לאכול רוצה
הוא שתה תה חם,הוא תה חם שתה
היא ראתה סרט מרגש,היא סרט מרגש ראה
הם גרים בבית גדול,הם בית גדול גר
אני צריך ללמוד למבחן,אני מבחן ללמוד צריך
היא בישלה ארוחה טעימה,היא ארוחה טעים בישל
הם נסעו לטיול,הם טיול נסע
הילד קרא ספר מעניין,ילד ספר מעניין קרא
המורה כתב על הלוח,מורה לוח על כתב
אנחנו שומעים מוזיקה רועשת,אנחנו מוזיקה רועש שומע
הוא רץ בפארק,הוא פארק ב רץ
היא ציירה ציור יפה,היא ציור יפה צייר
הם קנו מתנה גדולה,הם מתנה גדול קנה
אני שותה קפה בבוקר,אני בוקר ב קפה שותה
היא כתבה מכתב ארוך,היא מכתב ארוך כתב
הם אכלו ארוחת צהריים במסעדה,הם מסעדה ב ארוחת צהריים אכל
הילדה שרה שיר יפה,ילדה שיר יפה שר
המורה הסביר את הנושא,מורה נושא הסביר
אנחנו רואים סרט בטלוויזיה,אנחנו טלוויזיה ב סרט רואה
הוא נסע במכונית מהירה,הוא מכונית מהיר ב נסע
היא קנתה פרחים צבעוניים,היא פרחים צבעוני קנה
הם הלכו לקולנוע,הם קולנוע ל הלך
אני אוהב לטייל בטבע,אני טבע ב לטייל אוהב
היא למדה שפה חדשה,היא שפה חדש למד
הם שיחקו כדורגל בפארק,הם פארק ב כדורגל שיחק
הילד צחק מבדיחה מצחיקה,ילד בדיחה מצחיק מ צחק
המורה נתן שיעורי בית,מורה שיעורי בית נתן
אנחנו שותים מיץ תפוזים,אנחנו מיץ תפוזים שותה
הוא כתב סיפור קצר,הוא סיפור קצר כתב
היא ציירה נוף יפה,היא נוף יפה צייר
הם קנו בגדים חדשים,הם בגדים חדשים קנה
אני קורא עיתון בבוקר,אני בוקר ב עיתון קורא
היא בישלה מרק טעים,היא מרק טעים בישל
"הם נסעו לחו""ל","הם חו""ל ל נסע"
הילדה קפצה בחבל,ילדה חבל ב קפץ
המורה הסביר את החוקים,מורה חוקים הסביר
אנחנו רואים הצגה בתיאטרון,אנחנו תיאטרון ב הצגה רואה
הוא רכב על אופניים,הוא אופניים על רכב
היא קנתה נעליים חדשות,היא נעליים חדשות קנה
הם הלכו למסעדה,הם מסעדה ל הלך
אני אוהב ללמוד היסטוריה,אני היסטוריה ללמוד אוהב
היא למדה לבשל מאכל חדש,היא מאכל חדש לבשל למד
הם שיחקו שחמט בבית,הם בית ב שחמט שיחק
הילד בכה כי נפל,ילד נפל כי בכה
המורה נתן מבחן קשה,מורה מבחן קשה נתן
אנחנו שומעים רעש חזק,אנחנו רעש חזק שומע
הוא כתב שיר אהבה,הוא שיר אהבה כתב
היא ציירה פרחים צבעוניים,היא פרחים צבעוניים צייר
הם קנו רהיטים חדשים,הם רהיטים חדשים קנה
אני קורא ספר מתח,אני ספר מתח קורא
היא בישלה עוגה טעימה,היא עוגה טעים בישל
הם נסעו לצפון,הם צפון ל נסע
הילדה רקדה בלט,ילדה בלט רקד
המורה הסביר את הנוסחה,מורה נוסחה הסביר
אנחנו רואים סרט פעולה,אנחנו סרט פעולה רואה
הוא נהג במכונית בזהירות,הוא מכונית ב בזהירות נהג
היא קנתה תכשיטים חדשים,היא תכשיטים חדשים קנה
הם הלכו למוזיאון,הם מוזיאון ל הלך
אני אוהב לצלם תמונות,אני תמונות לצלם אוהב
היא למדה לנגן בפסנתר,היא פסנתר ב לנגן למד
הם שיחקו כדורסל בבית ספר,הם בית ספר ב כדורסל שיחק
הילד צייר ציור על הקיר,ילד קיר על ציור צייר
המורה נתן עבודה קשה,מורה עבודה קשה נתן
אנחנו שומעים מוזיקה קלאסית,אנחנו מוזיקה קלאסית שומע
הוא כתב מכתב לחבר,הוא חבר ל מכתב כתב
היא ציירה ציור של חיות,היא חיות של ציור צייר
הם קנו ספרים חדשים,הם ספרים חדשים קנה
אני קורא מאמר מעניין,אני מאמר מעניין קורא
היא בישלה תבשיל טעים,היא תבשיל טעים בישל
הם נסעו לדרום,הם דרום ל נסע
הילדה שרה שיר ילדים,ילדה שיר ילדים שר
המורה הסביר את המילים,מורה מילים הסביר
אנחנו רואים סרט אנימציה,אנחנו סרט אנימציה רואה
הוא נסע באוטובוס לעבודה,הוא עבודה ל אוטובוס ב נסע
היא קנתה בגדים לתינוק,היא תינוק ל בגדים קנה
הם הלכו לגינה הציבורית,הם גינה ציבורית ל הלך
אני אוהב לכתוב שירים,אני שירים לכתוב אוהב
היא למדה לרקוד ריקוד חדש,היא ריקוד חדש לרקוד למד
הם שיחקו משחקי קופסה בבית,הם בית ב משחקי קופסה שיחק
הילד צחק מסרט מצחיק,ילד סרט מצחיק מ צחק
המורה נתן שיעורי בית קשים,מורה שיעורי בית קשים נתן
אנחנו שותים מים קרים בקיץ,אנחנו קיץ ב מים קרים שותה
הוא כתב סיפור קצר על חיות,הוא חיות על סיפור קצר כתב
היא ציירה נוף של ים,היא ים של נוף צייר
הם קנו רהיטים לבית חדש,הם בית חדש ל רהיטים קנה
אני קורא ספר על היסטוריה,אני היסטוריה על ספר קורא
היא בישלה עוגה ליום הולדת,היא יום הולדת ל עוגה בישל
הם נסעו לטיול משפחתי,הם טיול משפחתי נסע
הילדה למדה לנגן בגיטרה,ילדה גיטרה ב לנגן למד
המורה הסביר את התרגיל,מורה תרגיל הסביר
אנחנו רואים הצגה מצחיקה בתיאטרון,אנחנו תיאטרון ב הצגה מצחיקה רואה
החתול ישן על הספה,חתול ספה על ישן
היא קראה את העיתון בבוקר,היא בוקר ב עיתון קרא
הם שתו מיץ תפוזים קר,הם מיץ תפוזים קר שתו
הילד שיחק עם הצעצועים שלו,ילד צעצועים עם שיחק
המורה הסבירה את החומר לתלמידים,מורה תלמידים ל חומר הסבירה
אנחנו אכלנו ארוחת צהריים בפארק,אנחנו פארק ב ארוחת צהריים אכלנו
הוא נסע לעבודה באוטובוס,הוא עבודה ל אוטובוס ב נסע
היא ציירה ציור של פרחים,היא פרחים של ציור ציירה
הם קנו פירות וירקות בשוק,הם שוק ב פירות וירקות קנו
אני אוהב לשתות קפה עם חלב,אני חלב עם קפה לשתות אוהב
היא למדה לנגן על גיטרה,היא גיטרה על לנגן למדה
הם שיחקו כדורסל בחצר,הם חצר ב כדורסל שיחקו
הילדה קפצה בחבל בחצר האחורית,ילדה חצר אחורית ב חבל ב קפצה
המורה כתבה את המילים על הלוח,מורה לוח על מילים כתבה
אנחנו שמענו מוזיקה רועשת מהרדיו,אנחנו רדיו מ מוזיקה רועשת שמענו
הוא רץ בפארק עם הכלב שלו,הוא כלב שלו עם פארק ב רץ
היא הכינה ארוחת ערב טעימה למשפחה,היא משפחה ל ארוחת ערב טעימה הכינה
הם נסעו לטיול בטבע עם חברים,הם חברים עם טבע ב טיול ל נסעו
אני קורא ספר מעניין על היסטוריה,אני היסטוריה על ספר מעניין קורא
היא למדה שפה חדשה באינטרנט,היא אינטרנט ב שפה חדשה למדה
הם שיחקו משחקי קופסה בסלון,הם סלון ב משחקי קופסה שיחקו
הילד צחק מבדיחה מצחיקה שסיפרה אמו,ילד אמו שסיפרה בדיחה מצחיקה מ צחק
המורה נתנה שיעורי בית קשים לתלמידים,מורה תלמידים ל שיעורי בית קשים נתנה
אנחנו שתינו מים קרים ביום חם,אנחנו יום חם ב מים קרים שתינו
הוא כתב סיפור קצר על חיות בג'ונגל,הוא ג'ונגל ב חיות על סיפור קצר כתב
