1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Master Index,English Gloss,Hebrew Gloss,Compound,Vimeo Link,Video Name,Subjective Frequency,Iconicity Rating Native,Iconicity Rating NonNative,Number of hands,Handshape Dominant,HS Dom JPG,Ending Dominant Handshape,End HS Dom JPG,Handshape Non-Dominant,HS Non-Dom JPG,Initialized Sign,Selected Fingers,Flexion,Spread Stacked,Thumb Position,Thumb Contact,Symmetry of Moving Hands,Symmetry of Handshape,Hands Crossed or Connected,Palm Orientation,Finger Direction,Contact,Contact Type,Major Area,Location 1,Location 2,Laterality of Location,Path Movement,Path Shape 1,Path Shape 2,Axis of Path Movement 1,Axis of Path Movement 2,Setting Change 1,Setting Change 2,Handshape Change,Handshape Change Type,Orientation Movement,Orientation Movement Type,Syllables,Repeated Exact,Alternating,Bidirectional/Unidirectional,Displaced Iteration,Switch Dominance,Switch Orientation,Trill
מספר אינדקס,תרגום אנגלי,תרגום לעברית,סימן יחיד או הרכב,מיקום הסרטון,שם הסרטון,תדירות המילה,דירוג אייקונית - חירשים מסמנים,דירוג אייקונית - לא מסמנים,מספר הידיים,יד דומיננטית h1,jpg image,דפוס כף היד הסופי,jpg image,יד לא-דומיננטית h2,jpg image, תבנית איות,אצבעות נבחרות ,כיפוף האצבעות ,"אצבעות פתוחות, צמודות, או חופפות",תנוחת האגודל ביחס לכף היד,מגע בין האגודל לאצבעות, תנועה סימטרית בין הידיים,סימטריה בתבנית כפות הידיים,הידיים מקבילות או חוצות זו את זו,אורינטציה של כף היד,כיוון האצבעות ,מגע בין הסימן לגוף,סוג המגע ,אזור בגוף,מיקום 1,מיקום 2,לטרליות ,מסלול התנועה של הידיים,"צורת מסלול 1, אם יש תנועה אחת","צורת מסלול 2, אם יש שתי תנועות",ציר תנועה 1,ציר תנועה  2,כיוון מסלול 1,כיוון מסלול 2,שינוי בתבנית כף היד ,"סוג השינוי בתבנית כף היד (למשל, פתיחה, סגירה)",שינוי באורינטציה של כף היד,סוג השינוי באורינטציה של כף היד,מספר הברות בסימן,שיכפול ההברה,תנועת הידייים לסרוגין,מסלול תנועה דו-כיווני,"הברות נוספות הן חזרה מדויקת על ההברה הראשונה, במקום אחר",החלפת דומיננטיות של הידיים,"בהברה השניה, שינוי בכיוון של כף היד",תנועת רעד
2,DUCK,ברווז,SINGLE,https://vimeo.com/396889026,media2.mp4,4.263,5.667,2.927,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,לא,למטה,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,כן (דו כיווני),לא,לא,לא,לא
3,DEER,צבי,SINGLE,https://vimeo.com/396889055,media3.mp4,4.053,6.389,4.854,2,צדי,Three.jpg,לא רלוונטי,N/A,צדי,Three.jpg,לא,TIM,מוארכות,פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,כן,אותו,לא,שתי ידיים פונות לצדדים מנוגדים,למעלה,כן,בתחילת הסימן,רֹאשׁ,מצח ורקות (כמו כתר),לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,קשת,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,נגד כיוון השעון,צד נגדי>צד דומיננטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
5,LION,אריה,SINGLE,https://vimeo.com/396889099,media5.mp4,6.053,5.833,3.512,2,רפויה,Lax.jpg,לא רלוונטי,N/A,רפויה,Lax.jpg,לא,TIMRP,אַחֵר,אַחֵר,למעלה,ללא מגע,כן,אותו,לא,למטה,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,קשת,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,עם כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,לא (חד כיווני),לא,לא,לא,לא
7,CUB,גור,SINGLE,https://vimeo.com/497653817,media7.mp4,5.368,4.778,3.878,2,כפית,Curve.jpg,לא רלוונטי,N/A,כפית,Curve.jpg,לא,TIMRP,מעוקמות ,צמודות כמו בסימון B,למעלה,ללא מגע,כן,אותו,לא,שתי ידיים פונות לצדדים מנוגדים,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי - גבוה,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,לא בטוח,ישר,לא רלוונטי,אופקי (מצד לצד),לא רלוונטי,צד דומיננטי>צד נגדי,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
8,GIRAFFE,ג'ירפה,SINGLE,https://vimeo.com/396889210,media8.mp4,5.105,6.333,5.049,1,אֶקְדָח,L.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TI,מוארכות,לא רלוונטי,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,אחורה,לצד הנגדי,כן,התחלה,עורף,צוואר,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,נמוך>גבוה,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
9,BUMBLEBEE,דבורה,SINGLE,https://vimeo.com/396889232,media9.mp4,5.842,5.333,4.512,1,פרפר,F-curved.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TI,מעוקמות ,לא רלוונטי,מנוגד,סגור,לא רלוונטי,לא רלוונטי,לא רלוונטי,קדימה,למעלה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי - גבוה,לא רלוונטי,באותו הצד,כן,מעגל,לא רלוונטי,לא בטוח,לא רלוונטי,נגד כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לא רלוונטי,לא (חד כיווני),לא,לא,לא,לא
10,FISH,דג,SINGLE,https://vimeo.com/396889259,media10.mp4,6.632,6.611,5.610,1,צמודה,5-thumb.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא בטוח,לא בטוח,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,כן,סיבוב (כמו ״כן״),אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,כן
12,HIPPOPOTAMUS,היפופוטם,SINGLE,https://vimeo.com/497653863,media12.mp4,2.632,4.722,3.561,2,5,5.jpg,לא רלוונטי,N/A,5,5.jpg,לא,TIMRP,מוארכות,פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,לא בטוח,אותו,לא,למעלה,שתי ידיים פונות לצדדים מנוגדים,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי - נמוך,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,לא בטוח,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,כן (דו כיווני),לא,לא,לא,לא
